Category,Item,Serving_Size,Calories,Calories from Fat,TotalFat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol_mg,Cholesterol (% Daily Value),Sodium_mg,Sodium (% Daily Value),Carbohydrates_g,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars_g,Protein_g,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,240,27,42,12,62,0,30,10,1080,45,75,11,2,6,200,11,0,0,6,15
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,280,31,48,13,65,0,30,10,1190,50,77,13,3,11,250,11,4,0,8,15
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510,290,33,50,14,71,0,250,83,1170,49,76,12,2,6,100,18,6,0,10,20
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570,330,37,57,15,74,0,250,83,1280,53,78,14,3,11,300,18,10,0,10,20
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460,250,27,42,12,62,0,35,11,1180,49,79,11,2,6,300,18,0,0,8,15
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520,280,32,49,13,65,0,35,11,1290,54,72,13,3,11,300,18,4,0,8,15
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,180,20,31,8,41,0,30,10,1180,49,73,14,2,6,300,17,0,2,6,15
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470,220,24,37,9,45,0,30,10,1290,54,77,15,3,11,100,17,4,2,8,15
Breakfast,Steak & Egg Biscuit,7.1 oz (201 g),540,290,32,49,16,78,1,280,93,1470,61,75,13,2,8,300,25,10,2,20,25
Breakfast,"Bacon, Egg & Cheese",6.1 oz (174 g),460,190,21,32,9,44,0,250,84,1250,52,71,16,2,9,500,19,10,10,20,15
Beef & Pork,Quarter Pounder with Bacon,8 oz (227 g),600,260,29,45,13,63,1.5,105,34,1440,60,70,16,3,12,100,37,6,15,25,30
Beef & Pork,McRib,7.3 oz (208 g),500,240,26,40,10,48,0,70,23,980,41,78,15,3,10,500,22,2,2,15,20
Chicken & Fish,Premium Grilled Chicken,7 oz (200 g),350,80,9,13,2,9,0,65,22,820,34,80,14,3,13,200,28,4,8,15,20
Chicken & Fish,Premium Crispy Chicken,8.8 oz (249 g),670,300,33,51,9,44,0,85,29,1410,59,81,19,3,14,100,36,8,20,30,20
